1038 1189 841
0 0 1189 841
0 0 26 37
26 0 52 37
52 0 78 37
78 0 104 37
104 0 130 37
130 0 156 37
156 0 182 37
182 0 208 37
208 0 234 37
234 0 260 37
260 0 286 37
286 0 323 26
323 0 360 26
360 0 397 26
397 0 434 26
434 0 471 26
471 0 508 26
508 0 545 26
545 0 582 26
582 0 619 26
619 0 656 26
656 0 693 26
693 0 730 26
730 0 767 26
767 0 804 26
804 0 841 26
286 26 323 52
323 26 360 52
360 26 397 52
397 26 434 52
434 26 471 52
471 26 508 52
508 26 545 52
545 26 582 52
582 26 619 52
619 26 656 52
656 26 693 52
693 26 730 52
730 26 767 52
767 26 804 52
804 26 841 52
286 52 323 78
323 52 360 78
360 52 397 78
397 52 434 78
434 52 471 78
471 52 508 78
508 52 545 78
545 52 582 78
582 52 619 78
619 52 656 78
656 52 693 78
693 52 730 78
730 52 767 78
767 52 804 78
804 52 841 78
286 78 323 104
323 78 360 104
360 78 397 104
397 78 434 104
434 78 471 104
471 78 508 104
508 78 545 104
545 78 582 104
582 78 619 104
619 78 656 104
656 78 693 104
693 78 730 104
730 78 767 104
767 78 804 104
804 78 841 104
286 104 323 130
323 104 360 130
360 104 397 130
397 104 434 130
434 104 471 130
471 104 508 130
508 104 545 130
545 104 582 130
582 104 619 130
619 104 656 130
656 104 693 130
693 104 730 130
730 104 767 130
767 104 804 130
804 104 841 130
286 130 323 156
323 130 360 156
360 130 397 156
397 130 434 156
434 130 471 156
471 130 508 156
508 130 545 156
545 130 582 156
582 130 619 156
619 130 656 156
656 130 693 156
693 130 730 156
730 130 767 156
767 130 804 156
804 130 841 156
0 37 26 74
26 37 52 74
52 37 78 74
78 37 104 74
104 37 130 74
130 37 156 74
156 37 182 74
182 37 208 74
208 37 234 74
234 37 260 74
260 37 286 74
0 74 26 111
26 74 52 111
52 74 78 111
78 74 104 111
104 74 130 111
130 74 156 111
156 74 182 111
182 74 208 111
208 74 234 111
234 74 260 111
260 74 286 111
0 111 26 148
26 111 52 148
52 111 78 148
78 111 104 148
104 111 130 148
130 111 156 148
156 111 182 148
182 111 208 148
208 111 234 148
234 111 260 148
260 111 286 148
0 148 26 185
26 148 52 185
52 148 78 185
78 148 104 185
104 148 130 185
130 148 156 185
156 148 182 185
182 148 208 185
208 148 234 185
234 148 260 185
260 148 286 185
0 185 26 222
26 185 52 222
52 185 78 222
78 185 104 222
104 185 130 222
130 185 156 222
156 185 182 222
182 185 208 222
208 185 234 222
234 185 260 222
260 185 286 222
0 222 26 259
26 222 52 259
52 222 78 259
78 222 104 259
104 222 130 259
130 222 156 259
156 222 182 259
182 222 208 259
208 222 234 259
234 222 260 259
260 222 286 259
0 259 26 296
26 259 52 296
52 259 78 296
78 259 104 296
104 259 130 296
130 259 156 296
156 259 182 296
182 259 208 296
208 259 234 296
234 259 260 296
260 259 286 296
0 296 26 333
26 296 52 333
52 296 78 333
78 296 104 333
104 296 130 333
130 296 156 333
156 296 182 333
182 296 208 333
208 296 234 333
234 296 260 333
260 296 286 333
0 333 26 370
26 333 52 370
52 333 78 370
78 333 104 370
104 333 130 370
130 333 156 370
156 333 182 370
182 333 208 370
208 333 234 370
234 333 260 370
260 333 286 370
0 370 26 407
26 370 52 407
52 370 78 407
78 370 104 407
104 370 130 407
130 370 156 407
156 370 182 407
182 370 208 407
208 370 234 407
234 370 260 407
260 370 286 407
0 407 26 444
26 407 52 444
52 407 78 444
78 407 104 444
104 407 130 444
130 407 156 444
156 407 182 444
182 407 208 444
208 407 234 444
234 407 260 444
260 407 286 444
0 444 26 481
26 444 52 481
52 444 78 481
78 444 104 481
104 444 130 481
130 444 156 481
156 444 182 481
182 444 208 481
208 444 234 481
234 444 260 481
260 444 286 481
0 481 26 518
26 481 52 518
52 481 78 518
78 481 104 518
104 481 130 518
130 481 156 518
156 481 182 518
182 481 208 518
208 481 234 518
234 481 260 518
260 481 286 518
0 518 26 555
26 518 52 555
52 518 78 555
78 518 104 555
104 518 130 555
130 518 156 555
156 518 182 555
182 518 208 555
208 518 234 555
234 518 260 555
260 518 286 555
0 555 26 592
26 555 52 592
52 555 78 592
78 555 104 592
104 555 130 592
130 555 156 592
156 555 182 592
182 555 208 592
208 555 234 592
234 555 260 592
260 555 286 592
0 592 26 629
26 592 52 629
52 592 78 629
78 592 104 629
104 592 130 629
130 592 156 629
156 592 182 629
182 592 208 629
208 592 234 629
234 592 260 629
260 592 286 629
0 629 26 666
26 629 52 666
52 629 78 666
78 629 104 666
104 629 130 666
130 629 156 666
156 629 182 666
182 629 208 666
208 629 234 666
234 629 260 666
260 629 286 666
0 666 26 703
26 666 52 703
52 666 78 703
78 666 104 703
104 666 130 703
130 666 156 703
156 666 182 703
182 666 208 703
208 666 234 703
234 666 260 703
260 666 286 703
0 703 26 740
26 703 52 740
52 703 78 740
78 703 104 740
104 703 130 740
130 703 156 740
156 703 182 740
182 703 208 740
208 703 234 740
234 703 260 740
260 703 286 740
0 740 26 777
26 740 52 777
52 740 78 777
78 740 104 777
104 740 130 777
130 740 156 777
156 740 182 777
182 740 208 777
208 740 234 777
234 740 260 777
260 740 286 777
0 777 26 814
26 777 52 814
52 777 78 814
78 777 104 814
104 777 130 814
130 777 156 814
156 777 182 814
182 777 208 814
208 777 234 814
234 777 260 814
260 777 286 814
0 814 26 851
26 814 52 851
52 814 78 851
78 814 104 851
104 814 130 851
130 814 156 851
156 814 182 851
182 814 208 851
208 814 234 851
234 814 260 851
260 814 286 851
0 851 26 888
26 851 52 888
52 851 78 888
78 851 104 888
104 851 130 888
130 851 156 888
156 851 182 888
182 851 208 888
208 851 234 888
234 851 260 888
260 851 286 888
0 888 26 925
26 888 52 925
52 888 78 925
78 888 104 925
104 888 130 925
130 888 156 925
156 888 182 925
182 888 208 925
208 888 234 925
234 888 260 925
260 888 286 925
0 925 26 962
26 925 52 962
52 925 78 962
78 925 104 962
104 925 130 962
130 925 156 962
156 925 182 962
182 925 208 962
208 925 234 962
234 925 260 962
260 925 286 962
286 156 323 182
323 156 360 182
360 156 397 182
397 156 434 182
434 156 471 182
471 156 508 182
508 156 545 182
545 156 582 182
582 156 619 182
619 156 656 182
656 156 693 182
693 156 730 182
730 156 767 182
767 156 804 182
804 156 841 182
286 182 323 208
323 182 360 208
360 182 397 208
397 182 434 208
434 182 471 208
471 182 508 208
508 182 545 208
545 182 582 208
582 182 619 208
619 182 656 208
656 182 693 208
693 182 730 208
730 182 767 208
767 182 804 208
804 182 841 208
286 208 323 234
323 208 360 234
360 208 397 234
397 208 434 234
434 208 471 234
471 208 508 234
508 208 545 234
545 208 582 234
582 208 619 234
619 208 656 234
656 208 693 234
693 208 730 234
730 208 767 234
767 208 804 234
804 208 841 234
286 234 323 260
323 234 360 260
360 234 397 260
397 234 434 260
434 234 471 260
471 234 508 260
508 234 545 260
545 234 582 260
582 234 619 260
619 234 656 260
656 234 693 260
693 234 730 260
730 234 767 260
767 234 804 260
804 234 841 260
286 260 323 286
323 260 360 286
360 260 397 286
397 260 434 286
434 260 471 286
471 260 508 286
508 260 545 286
545 260 582 286
582 260 619 286
619 260 656 286
656 260 693 286
693 260 730 286
730 260 767 286
767 260 804 286
804 260 841 286
286 286 323 312
323 286 360 312
360 286 397 312
397 286 434 312
434 286 471 312
471 286 508 312
508 286 545 312
545 286 582 312
582 286 619 312
619 286 656 312
656 286 693 312
693 286 730 312
730 286 767 312
767 286 804 312
804 286 841 312
286 312 323 338
323 312 360 338
360 312 397 338
397 312 434 338
434 312 471 338
471 312 508 338
508 312 545 338
545 312 582 338
582 312 619 338
619 312 656 338
656 312 693 338
693 312 730 338
730 312 767 338
767 312 804 338
804 312 841 338
286 338 323 364
323 338 360 364
360 338 397 364
397 338 434 364
434 338 471 364
471 338 508 364
508 338 545 364
545 338 582 364
582 338 619 364
619 338 656 364
656 338 693 364
693 338 730 364
730 338 767 364
767 338 804 364
804 338 841 364
286 364 323 390
323 364 360 390
360 364 397 390
397 364 434 390
434 364 471 390
471 364 508 390
508 364 545 390
545 364 582 390
582 364 619 390
619 364 656 390
656 364 693 390
693 364 730 390
730 364 767 390
767 364 804 390
804 364 841 390
286 390 323 416
323 390 360 416
360 390 397 416
397 390 434 416
434 390 471 416
471 390 508 416
508 390 545 416
545 390 582 416
582 390 619 416
619 390 656 416
656 390 693 416
693 390 730 416
730 390 767 416
767 390 804 416
804 390 841 416
286 416 323 442
323 416 360 442
360 416 397 442
397 416 434 442
434 416 471 442
471 416 508 442
508 416 545 442
545 416 582 442
582 416 619 442
619 416 656 442
656 416 693 442
693 416 730 442
730 416 767 442
767 416 804 442
804 416 841 442
286 442 323 468
323 442 360 468
360 442 397 468
397 442 434 468
434 442 471 468
471 442 508 468
508 442 545 468
545 442 582 468
582 442 619 468
619 442 656 468
656 442 693 468
693 442 730 468
730 442 767 468
767 442 804 468
804 442 841 468
286 468 323 494
323 468 360 494
360 468 397 494
397 468 434 494
434 468 471 494
471 468 508 494
508 468 545 494
545 468 582 494
582 468 619 494
619 468 656 494
656 468 693 494
693 468 730 494
730 468 767 494
767 468 804 494
804 468 841 494
286 494 323 520
323 494 360 520
360 494 397 520
397 494 434 520
434 494 471 520
471 494 508 520
508 494 545 520
545 494 582 520
582 494 619 520
619 494 656 520
656 494 693 520
693 494 730 520
730 494 767 520
767 494 804 520
804 494 841 520
286 520 323 546
323 520 360 546
360 520 397 546
397 520 434 546
434 520 471 546
471 520 508 546
508 520 545 546
545 520 582 546
582 520 619 546
619 520 656 546
656 520 693 546
693 520 730 546
730 520 767 546
767 520 804 546
804 520 841 546
286 546 323 572
323 546 360 572
360 546 397 572
397 546 434 572
434 546 471 572
471 546 508 572
508 546 545 572
545 546 582 572
582 546 619 572
619 546 656 572
656 546 693 572
693 546 730 572
730 546 767 572
767 546 804 572
804 546 841 572
286 572 323 598
323 572 360 598
360 572 397 598
397 572 434 598
434 572 471 598
471 572 508 598
508 572 545 598
545 572 582 598
582 572 619 598
619 572 656 598
656 572 693 598
693 572 730 598
730 572 767 598
767 572 804 598
804 572 841 598
286 598 323 624
323 598 360 624
360 598 397 624
397 598 434 624
434 598 471 624
471 598 508 624
508 598 545 624
545 598 582 624
582 598 619 624
619 598 656 624
656 598 693 624
693 598 730 624
730 598 767 624
767 598 804 624
804 598 841 624
286 624 323 650
323 624 360 650
360 624 397 650
397 624 434 650
434 624 471 650
471 624 508 650
508 624 545 650
545 624 582 650
582 624 619 650
619 624 656 650
656 624 693 650
693 624 730 650
730 624 767 650
767 624 804 650
804 624 841 650
286 650 323 676
323 650 360 676
360 650 397 676
397 650 434 676
434 650 471 676
471 650 508 676
508 650 545 676
545 650 582 676
582 650 619 676
619 650 656 676
656 650 693 676
693 650 730 676
730 650 767 676
767 650 804 676
804 650 841 676
286 676 323 702
323 676 360 702
360 676 397 702
397 676 434 702
434 676 471 702
471 676 508 702
508 676 545 702
545 676 582 702
582 676 619 702
619 676 656 702
656 676 693 702
693 676 730 702
730 676 767 702
767 676 804 702
804 676 841 702
286 702 323 728
323 702 360 728
360 702 397 728
397 702 434 728
434 702 471 728
471 702 508 728
508 702 545 728
545 702 582 728
582 702 619 728
619 702 656 728
656 702 693 728
693 702 730 728
730 702 767 728
767 702 804 728
804 702 841 728
286 728 323 754
323 728 360 754
360 728 397 754
397 728 434 754
434 728 471 754
471 728 508 754
508 728 545 754
545 728 582 754
582 728 619 754
619 728 656 754
656 728 693 754
693 728 730 754
730 728 767 754
767 728 804 754
804 728 841 754
286 754 323 780
323 754 360 780
360 754 397 780
397 754 434 780
434 754 471 780
471 754 508 780
508 754 545 780
545 754 582 780
582 754 619 780
619 754 656 780
656 754 693 780
693 754 730 780
730 754 767 780
767 754 804 780
804 754 841 780
286 780 323 806
323 780 360 806
360 780 397 806
397 780 434 806
434 780 471 806
471 780 508 806
508 780 545 806
545 780 582 806
582 780 619 806
619 780 656 806
656 780 693 806
693 780 730 806
730 780 767 806
767 780 804 806
804 780 841 806
286 806 323 832
323 806 360 832
360 806 397 832
397 806 434 832
434 806 471 832
471 806 508 832
508 806 545 832
545 806 582 832
582 806 619 832
619 806 656 832
656 806 693 832
693 806 730 832
730 806 767 832
767 806 804 832
804 806 841 832
286 832 323 858
323 832 360 858
360 832 397 858
397 832 434 858
434 832 471 858
471 832 508 858
508 832 545 858
545 832 582 858
582 832 619 858
619 832 656 858
656 832 693 858
693 832 730 858
730 832 767 858
767 832 804 858
804 832 841 858
286 858 323 884
323 858 360 884
360 858 397 884
397 858 434 884
434 858 471 884
471 858 508 884
508 858 545 884
545 858 582 884
582 858 619 884
619 858 656 884
656 858 693 884
693 858 730 884
730 858 767 884
767 858 804 884
804 858 841 884
286 884 323 910
323 884 360 910
360 884 397 910
397 884 434 910
434 884 471 910
471 884 508 910
508 884 545 910
545 884 582 910
582 884 619 910
619 884 656 910
656 884 693 910
693 884 730 910
730 884 767 910
767 884 804 910
804 884 841 910
286 910 323 936
323 910 360 936
360 910 397 936
397 910 434 936
434 910 471 936
471 910 508 936
508 910 545 936
545 910 582 936
582 910 619 936
619 910 656 936
